spectrum,window,test,N,chi2_lcdm,chi2_ceia,delta_chi2,AIC_ceia,BIC_ceia,delta_AIC_vs_lcdm,delta_BIC_vs_lcdm,params
TT,2-35,FREE_5P,34,33.853197568291286,19.025028687533126,14.82816888075816,29.025028687533126,36.65683131061394,4.8281688807581595,-2.8036337423226527,"[ 473.719912, -290.513489,   34.088589,  784.687801,   15.905861]"
TT,2-35,FIX_LC_4P,34,33.853197568291286,16.126718290103394,17.72647927818789,24.126718290103394,30.23216038856804,9.726479278187892,3.6210371797232455,"[690.620593, 323.515648,  22.952874,   0.713328]"
TT,2-35,FIX_LC_GAMMA_3P,34,33.853197568291286,16.164601166481507,17.68859640180978,22.164601166481507,26.74368274032999,11.688596401809779,7.109514827961295,"[6.978782e+02, 3.376123e+02, 5.282603e-02]"
TT,2-40,FREE_5P,39,38.774540365646125,21.508001139732162,17.266539225913963,31.508001139732162,39.8258093703804,7.266539225913963,-1.051269004734273,"[6.243684e+02, 3.428993e+07, 4.283381e+02, 4.556344e+00, 4.716035e+00]"
TT,2-40,FIX_LC_4P,39,38.774540365646125,23.13061152278729,15.643928842858834,31.13061152278729,37.78485810730588,7.643928842858834,0.9896822583402454,"[551.478761, 277.782465, 298.293613,   9.581313]"
TT,2-40,FIX_LC_GAMMA_3P,39,38.774540365646125,23.656538555263005,15.11800181038312,29.656538555263005,34.64722349365194,9.11800181038312,4.127316871994182,"[570.970073, 320.094662,   7.525856]"
TT,5-35,FREE_5P,31,27.991931721294147,13.679017761119592,14.312913960174555,23.679017761119592,30.848953783545323,4.312913960174555,-2.8570220622511755,"[808.155192, 414.953652,  26.213451,  18.521766,  -5.920768]"
TT,5-35,FIX_LC_4P,31,27.991931721294147,13.679017761119674,14.312913960174473,21.679017761119674,27.41496657906026,6.312913960174473,0.5769651422338882,"[808.155182, 414.953644,  18.521766,  -5.920767]"
TT,5-35,FIX_LC_GAMMA_3P,31,27.991931721294147,13.679017761119672,14.312913960174475,19.679017761119674,23.980979374575114,8.312913960174473,4.010952346719034,"[808.155181, 414.953643,  -5.920767]"
TE,2-35,FREE_5P,34,28.859904163980637,29.23680431726983,-0.376900153289192,39.23680431726983,46.86860694035064,-10.376900153289192,-18.00870277637,"[ 5.682279e-01, -1.032836e+05,  4.386682e+01,  4.520900e+01,  3.532397e-02]"
TE,2-35,FIX_LC_4P,34,28.859904163980637,24.261037303305383,4.598866860675255,32.261037303305386,38.36647940177003,-3.401133139324749,-9.506575237789392,"[ 2.334198,  4.277421,  7.931041, -0.11728 ]"
TE,2-35,FIX_LC_GAMMA_3P,34,28.859904163980637,25.31877620779177,3.541127956188866,31.31877620779177,35.897857781640255,-2.458872043811134,-7.037953617659618,"[ 1.762866,  2.811425, -0.061756]"
TE,2-40,FREE_5P,39,33.69774033304595,26.39599029453575,7.3017500385102,36.39599029453575,44.71379852518398,-2.6982499614898003,-11.016058192138033,"[ 1.913093,  3.315237, 24.32598 , 22.605495, -0.081896]"
TE,2-40,FIX_LC_4P,39,33.69774033304595,28.024724099374268,5.673016233671682,36.02472409937427,42.67897068389286,-2.3269837663283184,-8.981230350846907,"[ 2.134525,  4.411254,  8.377193, -0.102995]"
TE,2-40,FIX_LC_GAMMA_3P,39,33.69774033304595,29.024287808101693,4.673452524944256,35.02428780810169,40.01497274649063,-1.3265474750557402,-6.317232413444678,"[ 1.603062,  3.038765, -0.05136 ]"
TE,5-35,FREE_5P,31,25.411716203832007,27.420932702096316,-2.0092164982643084,37.420932702096316,44.590868724522046,-12.009216498264308,-19.17915252069004,"[ 5.729339e-01, -6.983473e+04,  4.346007e+01,  4.535136e+01,  3.507081e-02]"
TE,5-35,FIX_LC_4P,31,25.411716203832007,21.725437342514166,3.6862788613178417,29.725437342514166,35.46138616045475,-4.313721138682158,-10.049669956622743,"[ 2.910504,  5.405816,  6.523502, -0.166263]"
TE,5-35,FIX_LC_GAMMA_3P,31,25.411716203832007,23.189789523440172,2.221926680391835,29.189789523440172,33.491751136895616,-3.778073319608165,-8.080034933063608,"[ 1.928312,  2.956781, -0.071732]"
EE,2-35,FREE_5P,34,34.22162380858884,40.632888207162004,-6.4112643985731665,50.632888207162004,58.26469083024281,-16.411264398573167,-24.043067021653975,"[ 2.205938e-03, -6.849781e-02,  3.449268e+01,  9.272776e+01,  5.231274e-04]"
EE,2-35,FIX_LC_4P,34,34.22162380858884,28.600103700369914,5.621520108218924,36.600103700369914,42.705545798834564,-2.378479891781076,-8.483921990245726,"[ 0.084074,  0.522535,  2.088577, -0.014788]"
EE,2-35,FIX_LC_GAMMA_3P,34,34.22162380858884,39.240620622685526,-5.018996814096688,45.240620622685526,49.81970219653401,-11.018996814096688,-15.598078387945172,"[ 8.198186e-03,  2.339016e-02, -2.439139e-05]"
EE,2-40,FREE_5P,39,45.93778048448518,41.23681464823526,4.700965836249921,51.23681464823526,59.55462287888349,-5.299034163750079,-13.616842394398311,"[ 1.219052e-01,  4.227973e+02,  8.481681e+02,  1.028773e+00, -4.483492e-01]"
EE,2-40,FIX_LC_4P,39,45.93778048448518,43.95741440423401,1.9803660802511729,51.95741440423401,58.61166098875259,-6.019633919748827,-12.673880504267409,"[ 0.051999,  0.242913,  2.640643, -0.006678]"
EE,2-40,FIX_LC_GAMMA_3P,39,45.93778048448518,52.25227714564069,-6.314496661155509,58.25227714564069,63.24296208402963,-12.31449666115551,-17.305181599544447,"[7.251358e-03, 2.615933e-02, 4.572956e-05]"
EE,5-35,FREE_5P,31,32.02717207722791,36.38825543061221,-4.361083353384302,46.38825543061221,53.55819145303794,-14.361083353384302,-21.531019375810033,"[-4.009993e-04, -7.513831e+01,  3.896916e+01,  6.487313e+01,  6.730747e-04]"
EE,5-35,FIX_LC_4P,31,32.02717207722791,27.215096227318462,4.812075849909448,35.21509622731846,40.95104504525905,-3.187924150090552,-8.92387296803114,"[ 0.089544,  0.55412 ,  2.084532, -0.015752]"
EE,5-35,FIX_LC_GAMMA_3P,31,32.02717207722791,35.592245932347474,-3.5650738551195644,41.592245932347474,45.894207545802914,-9.565073855119564,-13.867035468575004,"[0.005111, 0.020032, 0.000181]"
BB,2-35,FREE_5P,28,23.304969346751204,20.395333725436377,2.909635621314827,30.395333725436377,37.0563562763124,-7.090364378685173,-13.751386929561196,"[-4.363447e-02, -3.335234e+01,  2.747128e+02,  1.055051e+00,  1.042122e-01]"
BB,2-35,FIX_LC_4P,28,23.304969346751204,20.461733053658683,2.84323629309252,28.461733053658683,33.7905510943595,-5.15676370690748,-10.485581747608297,"[-5.933085e-03, -1.214550e-02,  3.917291e+03,  6.060518e-04]"
